node_id,media_id,file_id,title,model,file_uri,download_status
16768,,,The Quebec Gazette - 1772-01-02,Paged Content,,Success
16769,36415,60796,Le Meridien Barcelona - Page 1,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//16768/36415/60796/OBJ.0_11092.jp2,True
16775,36421,60814,Le Meridien Barcelona - Page 2,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//16768/36421/60814/OBJ.0_11098.jp2,True
16773,36419,60808,Le Meridien Barcelona - Page 3,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//16768/36419/60808/OBJ.0_11096.jp2,True
16772,36418,60805,Le Meridien Barcelona - Page 4,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//16768/36418/60805/OBJ.0_11095.jp2,True
16774,36420,60811,Le Meridien Barcelona - Page 5,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//16768/36420/60811/OBJ.0_11097.jp2,True
16770,36416,60799,Le Meridien Barcelona - Page 6,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//16768/36416/60799/OBJ.0_11093.jp2,True
16771,36417,60802,Le Meridien Barcelona - Page 7,Page,/srv/dsu/COLLECTION_MANAGEMENT/ecn/ocr_processing_june_2024//16768/36417/60802/OBJ.0_11094.jp2,True
